plotnr,Date,diameter,height,treat
1,10/1/2007,NA,NA,IL
1,4/1/2008,3.960694444,4.045480362,IL
1,12/1/2008,7.376,6.185,IL
1,11/1/2007,NA,NA,IL
1,5/1/2008,4.36,4.216,IL
1,1/1/2009,8.25,7.123,IL
1,12/1/2007,NA,NA,IL
1,7/1/2008,4.89,4.385,IL
1,1/1/2008,1.469,2.443,IL
1,9/1/2008,5.686,4.438,IL
1,7/1/2009,10.89236111,9.506111111,IL
1,3/1/2008,3.224,3.456,IL
1,10/1/2008,6.204861111,4.858333333,IL
1,12/1/2009,12.30888889,10.89555556,IL
1,4/15/2012,15.36290323,15.88543939,IL
1,3/1/2010,13.225,13.144,IL
1,2/1/2010,13.00277778,10.73558989,IL
1,3/1/2009,9.26,7.983,IL
1,9/1/2010,14.81056338,12.52015652,IL
1,6/1/2011,16.52785714,16.29714286,IL
10,4/1/2008,2.051857143,2.801343054,I
10,9/1/2008,2.409,2.763,I
10,3/1/2008,1.634444444,2.515555556,I
10,10/1/2008,3.316901408,3.37056338,I
10,10/1/2007,NA,NA,I
10,12/1/2008,4.59,4.423,I
10,11/1/2007,NA,NA,I
10,5/1/2008,2.09,2.677,I
10,4/15/2012,15.9183908,16.163628,I
10,12/1/2007,NA,NA,I
10,7/1/2008,2.195,2.717,I
10,1/1/2008,0.852,1.934,I
10,9/1/2010,13.14791667,11.50017308,I
10,7/1/2009,8.759027778,7.456666667,I
10,6/1/2011,14.83958333,14.87777778,I
10,2/1/2010,11.07777778,10.06222241,I
10,12/1/2009,10.52,9.017,I
10,1/1/2009,5.66,5.225,I
10,3/1/2010,11.785,11.236,I
10,3/1/2009,7.02,6.513,I
11,3/1/2008,1.571,2.559,IL
11,10/1/2007,NA,NA,IL
11,4/1/2008,1.978428571,2.6854133,IL
11,12/1/2007,NA,NA,IL
11,11/1/2007,NA,NA,IL
11,1/1/2008,0.576,1.754,IL
11,9/1/2008,2.685,3.125,IL
11,7/1/2009,9.215277778,7.557361111,IL
11,6/1/2011,15.31597222,14.83888889,IL
11,10/1/2008,3.126388889,3.216666667,IL
11,12/1/2009,11.49,9.139,IL
11,4/15/2012,16.91466667,17.02290678,IL
11,12/1/2008,5.123,4.499,IL
11,2/1/2010,11.50972222,9.788105051,IL
11,5/1/2008,2.35,2.822,IL
11,1/1/2009,6.28,5.344,IL
11,3/1/2010,12.755,11.295,IL
11,7/1/2008,2.508,2.858,IL
11,3/1/2009,7.64,6.569,IL
11,9/1/2010,13.52361111,11.60560052,IL
14,12/1/2007,NA,NA,F
14,7/1/2008,1.851428571,2.621428571,F
14,3/1/2009,4.37,4.522,F
14,1/1/2008,0.46,1.95,F
14,9/1/2008,1.441,2.349,F
14,7/1/2009,6.943661972,5.918028169,F
14,3/1/2008,1.273333333,2.361666667,F
14,10/1/2008,2.026760563,2.722957746,F
14,10/1/2007,NA,NA,F
14,4/1/2008,1.486142857,2.441577787,F
14,12/1/2008,2.835,3.279,F
14,11/1/2007,NA,NA,F
14,5/1/2008,1.42,2.317,F
14,1/1/2009,3.385,3.752,F
14,3/1/2010,7.965,7.348,F
14,6/1/2011,12.15028169,10.62253521,F
14,9/1/2010,10.20352113,8.060851604,F
14,12/1/2009,7.342,6.027,F
14,4/15/2012,11.77282609,11.5268332,F
14,2/1/2010,8.169014085,7.000963081,F
15,7/1/2008,2.822,2.979,IL
15,1/1/2008,0.824,1.814,IL
15,9/1/2008,2.945,3,IL
15,4/1/2008,2.253194444,2.877661155,IL
15,3/1/2008,1.816,2.594,IL
15,11/1/2007,NA,NA,IL
15,5/1/2008,2.53,2.915,IL
15,12/1/2007,NA,NA,IL
15,3/1/2010,11.58,10.729,IL
15,3/1/2009,7.32,6.42,IL
15,9/1/2010,13.50138889,11.60402022,IL
15,10/1/2007,NA,NA,IL
15,7/1/2009,9.453055556,7.45875,IL
15,6/1/2011,15.15985915,14.19295775,IL
15,10/1/2008,3.582638889,3.4225,IL
15,4/15/2012,15.34157303,15.91808673,IL
15,12/1/2008,4.962,4.39,IL
15,2/1/2010,11.35,9.692073349,IL
15,1/1/2009,5.985,5.222,IL
15,12/1/2009,10.67,8.663,IL
16,1/1/2008,0.754285714,1.868571429,I
16,11/1/2007,NA,NA,I
