Date,storage
8/08/2005,357
15/08/2005,398
22/08/2005,462
29/08/2005,493
5/09/2005,530
12/09/2005,537
19/09/2005,559
26/09/2005,564
3/10/2005,561
10/10/2005,617
17/10/2005,654
24/10/2005,647
31/10/2005,652
7/11/2005,662
14/11/2005,673
21/11/2005,671
28/11/2005,673
5/12/2005,669
12/12/2005,700
19/12/2005,703
26/12/2005,714
2/01/2006,739
9/01/2006,744
16/01/2006,723
23/01/2006,699
30/01/2006,674
6/02/2006,648
13/02/2006,625
20/02/2006,602
27/02/2006,577
6/03/2006,551
13/03/2006,511
20/03/2006,478
27/03/2006,451
3/04/2006,432
10/04/2006,460
17/04/2006,471
24/04/2006,508
1/05/2006,499
8/05/2006,508
15/05/2006,536
22/05/2006,519
29/05/2006,491
5/06/2006,448
12/06/2006,417
19/06/2006,427
26/06/2006,418
3/07/2006,411
10/07/2006,423
17/07/2006,450
24/07/2006,439
31/07/2006,430
7/08/2006,434
14/08/2006,438
21/08/2006,458
28/08/2006,477
4/09/2006,484
11/09/2006,481
18/09/2006,464
25/09/2006,495
2/10/2006,551
9/10/2006,568
16/10/2006,573
23/10/2006,571
30/10/2006,562
6/11/2006,548
13/11/2006,527
20/11/2006,517
27/11/2006,495
4/12/2006,478
11/12/2006,458
18/12/2006,439
25/12/2006,417
1/01/2007,397
8/01/2007,381
15/01/2007,362
22/01/2007,341
29/01/2007,326
5/02/2007,319
12/02/2007,295
19/02/2007,271
26/02/2007,247
5/03/2007,225
12/03/2007,209
19/03/2007,193
26/03/2007,181
2/04/2007,188
9/04/2007,179
16/04/2007,164
23/04/2007,152
30/04/2007,137
7/05/2007,154
14/05/2007,177
21/05/2007,175
28/05/2007,208
4/06/2007,270
11/06/2007,266
18/06/2007,254
25/06/2007,241
2/07/2007,230
9/07/2007,231
16/07/2007,218
23/07/2007,223
30/07/2007,229
6/08/2007,273
13/08/2007,445
20/08/2007,474
27/08/2007,468
3/09/2007,466
10/09/2007,463
17/09/2007,448
24/09/2007,435
1/10/2007,477
8/10/2007,559
15/10/2007,605
22/10/2007,683
29/10/2007,677
5/11/2007,672
