Date,Weight
10/02/05,224
14/02/05,222
15/02/05,220
16/02/05,219
17/02/05,218.5
18/02/05,218
19/02/05,217.5
20/02/05,216
21/02/05,215.5
22/02/05,215.5
23/02/05,214.5
24/02/05,214
25/02/05,213.5
26/02/05,213.5
27/02/05,212.5
28/02/05,213
8/03/05,213
9/03/05,212
10/03/05,211.5
11/03/05,210
12/03/05,209
13/03/05,208.5
14/03/05,208.5
15/03/05,208
16/03/05,208
17/03/05,207.5
18/03/05,207
19/03/05,206
23/03/05,205.5
24/03/05,204.5
25/03/05,204.5
26/03/05,202.5
27/03/05,202
28/03/05,203
30/03/05,202.5
31/03/05,203
1/04/05,202
2/04/05,201.5
3/04/05,201
5/04/05,200.5
6/04/05,200
7/04/05,199
8/04/05,200
9/04/05,199.5
19/04/05,198.5
20/04/05,199
21/04/05,198
22/04/05,197.5
23/04/05,196
24/04/05,195.5
25/04/05,195
27/04/05,193.5
28/04/05,195
29/04/05,195.5
30/04/05,195
2/05/05,194.5
3/05/05,194
7/05/05,194.5
8/05/05,192
9/05/05,191.5
10/05/05,192
11/05/05,191.5
12/05/05,191.5
13/05/05,190
14/05/05,190.5
15/05/05,189.5
16/05/05,190
