"Date","VVD","PvdA","PVV","CDA","SP","D66","GL","CU","SGP","PvdD","FiftyPlus"
2012-03-22,22.1,16.8,13.9,9.4,16.8,7.7,4.5,3.3,1.5,2.4,1.1
2012-04-05,23.6,17.1,13.3,8.8,16.3,8.7,4.1,3.2,1.4,2,0.8
2012-04-19,24,17.3,12,8.2,17,8.8,3.5,3.3,1.6,3.1,0.8
2012-04-27,22.4,16.5,12.1,8.4,17.2,10.6,3.3,4,1.7,2.2,0.8
2012-05-05,22.9,14.7,11.4,9,18.5,10.1,4.1,3.6,1.4,2.9,0.8
2012-05-12,21.4,14.5,12.7,10.3,18.5,9.9,3.8,3.9,1.3,2.5,0.8
2012-05-18,20.1,16,13.8,10.7,17.3,9.8,3.8,3.4,1.4,2.5,0.7
2012-05-25,19.8,16.2,13.4,10.3,17.5,10.3,3.8,3.7,1.4,2.3,0.8
2012-06-02,21,15.3,14.1,9.4,17.6,9.7,3.7,3.4,1.6,2.3,0.8
2012-06-15,22.3,15.5,15.3,8,16.6,9.6,3.3,4,1.4,2.1,0.7
2012-06-29,20.8,15.1,13.1,9.4,18.3,9.3,3.2,4.5,2.1,2.3,0.9
2012-07-06,23,16,11.9,9.4,18.8,8.7,2.7,3.9,1.6,2.4,0.8
2012-07-13,23.3,14.7,12.4,10.5,17.8,8.3,3.6,3.6,1.6,2.3,0.8
2012-07-27,22.2,14.9,11.9,9.5,18.8,9.4,3.1,4.5,1.5,1.9,1.2
2012-08-10,21,14.3,12.6,9.6,19.8,10.2,2.6,4.2,1.4,2.5,1.2
2012-08-17,22.7,14.9,11.9,9,18.4,9.5,2.7,3.4,2,2.5,1.4
2012-08-24,22.1,14,12.4,9.3,19.8,9.5,3.4,3.9,1.6,2,1.1
2012-08-31,22.1,16.6,13.2,8.9,17.1,9.2,2.9,3.5,1.5,2.6,1
2012-09-03,22.7,19.3,11.7,9,15.4,9.5,1.7,3.1,1.3,3,1.8
2012-09-05,21.6,20.5,13.3,8,14.2,8.3,2.7,4.1,1.6,2.2,1.8
2012-09-08,22.5,22.7,12.3,8.4,13.4,7.7,2.9,4.2,1.5,2.2,0.7
2012-09-11,24.3,23.4,11.4,8.8,13.4,6.7,2.3,3.7,1.2,2.1,1.5
