Date,Ring,Plot,Sub,Forbes,Grass,Litter,Trt
11/06/13,1,1,1,0,16,5,elev
11/06/13,1,1,2,2,14,6,elev
11/06/13,1,1,3,0,16,2,elev
11/06/13,1,1,4,0,16,2,elev
11/06/13,1,2,1,2,15,3,elev
11/06/13,1,2,2,5,16,3,elev
11/06/13,1,2,3,4,16,4,elev
11/06/13,1,2,4,0,16,3,elev
11/06/13,1,3,1,1,16,0,elev
11/06/13,1,3,2,3,13,4,elev
11/06/13,1,3,3,0,15,3,elev
11/06/13,1,3,4,0,16,3,elev
11/06/13,1,4,1,0,15,4,elev
11/06/13,1,4,2,0,16,3,elev
11/06/13,1,4,3,0,15,2,elev
11/06/13,1,4,4,0,14,5,elev
11/06/13,2,1,1,0,16,6,ctrl
11/06/13,2,1,2,0,15,6,ctrl
11/06/13,2,1,3,0,14,7,ctrl
11/06/13,2,1,4,0,13,4,ctrl
11/06/13,2,2,1,1,15,3,ctrl
11/06/13,2,2,2,0,15,6,ctrl
11/06/13,2,2,3,0,15,8,ctrl
11/06/13,2,2,4,1,16,1,ctrl
11/06/13,2,3,1,0,16,3,ctrl
11/06/13,2,3,2,0,16,2,ctrl
11/06/13,2,3,3,0,16,4,ctrl
11/06/13,2,3,4,0,16,4,ctrl
11/06/13,2,4,1,3,13,2,ctrl
11/06/13,2,4,2,0,15,4,ctrl
11/06/13,2,4,3,1,16,4,ctrl
11/06/13,2,4,4,0,16,5,ctrl
11/06/13,3,1,1,2,10,5,ctrl
11/06/13,3,1,2,0,16,4,ctrl
11/06/13,3,1,3,3,16,3,ctrl
11/06/13,3,1,4,1,13,3,ctrl
11/06/13,3,2,1,0,15,4,ctrl
11/06/13,3,2,2,2,15,4,ctrl
11/06/13,3,2,3,7,12,1,ctrl
11/06/13,3,2,4,3,16,3,ctrl
11/06/13,3,3,1,1,3,11,ctrl
11/06/13,3,3,2,3,7,6,ctrl
11/06/13,3,3,3,7,10,4,ctrl
11/06/13,3,3,4,8,1,9,ctrl
11/06/13,3,4,1,0,14,7,ctrl
11/06/13,3,4,2,1,14,10,ctrl
11/06/13,3,4,3,0,13,10,ctrl
11/06/13,3,4,4,0,10,9,ctrl
11/06/13,4,1,1,4,14,0,elev
11/06/13,4,1,2,0,16,3,elev
11/06/13,4,1,3,0,15,2,elev
11/06/13,4,1,4,0,16,2,elev
11/06/13,4,2,1,1,14,3,elev
11/06/13,4,2,2,1,14,5,elev
11/06/13,4,2,3,0,14,2,elev
11/06/13,4,2,4,0,16,2,elev
11/06/13,4,3,1,1,16,1,elev
11/06/13,4,3,2,0,16,3,elev
11/06/13,4,3,3,1,16,3,elev
11/06/13,4,3,4,0,16,4,elev
11/06/13,4,4,1,5,14,6,elev
11/06/13,4,4,2,2,15,5,elev
11/06/13,4,4,3,0,15,3,elev
11/06/13,4,4,4,3,16,0,elev
11/06/13,5,1,1,7,12,9,elev
11/06/13,5,1,2,6,6,11,elev
11/06/13,5,1,3,6,4,11,elev
11/06/13,5,1,4,9,6,13,elev
11/06/13,5,2,1,6,4,14,elev
11/06/13,5,2,2,3,8,12,elev
11/06/13,5,2,3,11,12,7,elev
11/06/13,5,2,4,5,8,11,elev
11/06/13,5,3,1,2,2,10,elev
11/06/13,5,3,2,1,1,14,elev
11/06/13,5,3,3,5,5,12,elev
11/06/13,5,3,4,4,4,9,elev
11/06/13,5,4,1,5,16,0,elev
11/06/13,5,4,2,3,15,3,elev
11/06/13,5,4,3,0,14,4,elev
11/06/13,5,4,4,3,16,4,elev
11/06/13,6,1,1,0,15,3,ctrl
11/06/13,6,1,2,1,16,3,ctrl
11/06/13,6,1,3,2,16,5,ctrl
11/06/13,6,1,4,1,16,0,ctrl
11/06/13,6,2,1,2,15,7,ctrl
11/06/13,6,2,2,5,14,7,ctrl
11/06/13,6,2,3,3,15,6,ctrl
11/06/13,6,2,4,5,14,3,ctrl
11/06/13,6,3,1,6,16,3,ctrl
11/06/13,6,3,2,7,16,6,ctrl
11/06/13,6,3,3,4,16,4,ctrl
11/06/13,6,3,4,6,15,2,ctrl
11/06/13,6,4,1,0,16,3,ctrl
11/06/13,6,4,2,0,16,2,ctrl
11/06/13,6,4,3,3,16,1,ctrl
11/06/13,6,4,4,3,16,2,ctrl
3/09/13,1,1,1,0,12,5,elev
3/09/13,1,1,2,0,11,4,elev
3/09/13,1,1,3,0,15,6,elev
3/09/13,1,1,4,0,14,4,elev
3/09/13,1,2,1,0,11,5,elev
3/09/13,1,2,2,1,8,10,elev
3/09/13,1,2,3,0,9,7,elev
3/09/13,1,2,4,0,11,8,elev
3/09/13,1,3,1,0,10,9,elev
3/09/13,1,3,2,0,7,12,elev
3/09/13,1,3,3,0,10,6,elev
3/09/13,1,3,4,0,9,8,elev
3/09/13,1,4,1,0,10,8,elev
3/09/13,1,4,2,0,14,3,elev
3/09/13,1,4,3,0,13,6,elev
3/09/13,1,4,4,0,10,8,elev
3/09/13,2,1,1,0,10,7,ctrl
3/09/13,2,1,2,0,6,19,ctrl
3/09/13,2,1,3,0,9,14,ctrl
3/09/13,2,1,4,0,12,14,ctrl
3/09/13,2,2,1,0,9,12,ctrl
3/09/13,2,2,2,0,10,12,ctrl
3/09/13,2,2,3,0,8,19,ctrl
3/09/13,2,2,4,1,6,13,ctrl
3/09/13,2,3,1,0,11,5,ctrl
3/09/13,2,3,2,0,13,3,ctrl
3/09/13,2,3,3,0,9,12,ctrl
3/09/13,2,3,4,0,7,7,ctrl
3/09/13,2,4,1,0,10,6,ctrl
3/09/13,2,4,2,0,3,16,ctrl
3/09/13,2,4,3,1,1,13,ctrl
3/09/13,2,4,4,1,8,9,ctrl
3/09/13,3,1,1,0,10,10,ctrl
3/09/13,3,1,2,0,13,4,ctrl
3/09/13,3,1,3,0,13,7,ctrl
3/09/13,3,1,4,0,13,5,ctrl
3/09/13,3,2,1,0,15,2,ctrl
3/09/13,3,2,2,0,16,3,ctrl
3/09/13,3,2,3,0,15,6,ctrl
3/09/13,3,2,4,0,15,7,ctrl
3/09/13,3,3,1,0,4,15,ctrl
3/09/13,3,3,2,0,6,13,ctrl
3/09/13,3,3,3,2,6,9,ctrl
3/09/13,3,3,4,2,0,14,ctrl
3/09/13,3,4,1,0,9,11,ctrl
3/09/13,3,4,2,1,10,9,ctrl
3/09/13,3,4,3,0,10,4,ctrl
3/09/13,3,4,4,0,12,6,ctrl
3/09/13,4,1,1,6,16,4,elev
3/09/13,4,1,2,1,15,4,elev
3/09/13,4,1,3,1,16,2,elev
3/09/13,4,1,4,2,16,2,elev
3/09/13,4,2,1,0,14,5,elev
3/09/13,4,2,2,0,14,3,elev
3/09/13,4,2,3,0,16,3,elev
3/09/13,4,2,4,0,14,2,elev
3/09/13,4,3,1,0,14,4,elev
3/09/13,4,3,2,0,16,2,elev
3/09/13,4,3,3,0,15,2,elev
3/09/13,4,3,4,0,16,2,elev
3/09/13,4,4,1,4,11,4,elev
3/09/13,4,4,2,1,15,1,elev
3/09/13,4,4,3,0,16,1,elev
3/09/13,4,4,4,1,16,4,elev
3/09/13,5,1,1,3,7,8,elev
3/09/13,5,1,2,5,9,11,elev
3/09/13,5,1,3,2,6,14,elev
3/09/13,5,1,4,3,6,12,elev
3/09/13,5,2,1,8,3,14,elev
3/09/13,5,2,2,5,6,9,elev
3/09/13,5,2,3,9,13,5,elev
3/09/13,5,2,4,8,2,13,elev
3/09/13,5,3,1,7,3,7,elev
3/09/13,5,3,2,10,1,11,elev
3/09/13,5,3,3,7,3,12,elev
3/09/13,5,3,4,10,3,7,elev
3/09/13,5,4,1,3,14,3,elev
3/09/13,5,4,2,2,11,5,elev
3/09/13,5,4,3,5,14,5,elev
3/09/13,5,4,4,4,12,5,elev
3/09/13,6,1,1,0,9,9,ctrl
3/09/13,6,1,2,3,11,8,ctrl
3/09/13,6,1,3,1,12,11,ctrl
3/09/13,6,1,4,0,13,8,ctrl
3/09/13,6,2,1,3,12,13,ctrl
3/09/13,6,2,2,2,15,9,ctrl
3/09/13,6,2,3,1,15,7,ctrl
3/09/13,6,2,4,1,14,5,ctrl
3/09/13,6,3,1,0,16,5,ctrl
3/09/13,6,3,2,0,14,3,ctrl
3/09/13,6,3,3,0,15,5,ctrl
3/09/13,6,3,4,2,15,5,ctrl
3/09/13,6,4,1,1,15,3,ctrl
3/09/13,6,4,2,5,11,4,ctrl
3/09/13,6,4,3,2,14,5,ctrl
3/09/13,6,4,4,3,15,5,ctrl
