"species","site","water.potential","germ","n"
"M.styphelioides","NUrragingy",0,23,25
"M.styphelioides","NUrragingy",0,25,25
"M.styphelioides","NUrragingy",0,24,25
"M.styphelioides","NUrragingy",0,24,25
"M.styphelioides","CHill",0,23,25
"M.styphelioides","CHill",0,23,25
"M.styphelioides","CHill",0,25,25
"M.styphelioides","CHill",0,25,25
"M.nodosa","ADI",0,25,25
"M.nodosa","ADI",0,22,25
"M.nodosa","ADI",0,24,25
"M.nodosa","ADI",0,23,25
"M.nodosa","RW",0,23,25
"M.nodosa","RW",0,24,25
"M.nodosa","RW",0,25,25
"M.nodosa","RW",0,24,25
"M.thymifolia","Castlreagh",0,15,25
"M.thymifolia","Castlreagh",0,14,25
"M.thymifolia","Castlreagh",0,12,25
"M.thymifolia","Castlreagh",0,16,25
"M.thymifolia","Pheasants",0,12,25
"M.thymifolia","Pheasants",0,15,25
"M.thymifolia","Pheasants",0,21,25
"M.thymifolia","Pheasants",0,6,25
"M.deanei","Brooklyn",0,18,25
"M.deanei","Brooklyn",0,18,25
"M.deanei","Brooklyn",0,21,25
"M.deanei","Brooklyn",0,23,25
"M.deanei","NDam",0,17,25
"M.deanei","NDam",0,22,25
"M.deanei","NDam",0,19,25
"M.deanei","NDam",0,18,25
"M.styphelioides","NUrragingy",-0.15,23,25
"M.styphelioides","NUrragingy",-0.15,24,25
"M.styphelioides","NUrragingy",-0.15,25,25
"M.styphelioides","NUrragingy",-0.15,25,25
"M.styphelioides","CHill",-0.15,25,25
"M.styphelioides","CHill",-0.15,25,25
"M.styphelioides","CHill",-0.15,24,25
"M.styphelioides","CHill",-0.15,20,25
"M.nodosa","ADI",-0.15,25,25
"M.nodosa","ADI",-0.15,24,25
"M.nodosa","ADI",-0.15,24,25
"M.nodosa","ADI",-0.15,23,25
"M.nodosa","RW",-0.15,25,25
"M.nodosa","RW",-0.15,21,25
"M.nodosa","RW",-0.15,23,25
"M.nodosa","RW",-0.15,24,25
"M.thymifolia","Castlreagh",-0.15,20,25
"M.thymifolia","Castlreagh",-0.15,12,25
"M.thymifolia","Castlreagh",-0.15,19,25
"M.thymifolia","Castlreagh",-0.15,13,25
"M.thymifolia","Pheasants",-0.15,11,25
"M.thymifolia","Pheasants",-0.15,14,25
"M.thymifolia","Pheasants",-0.15,20,25
"M.thymifolia","Pheasants",-0.15,9,25
"M.deanei","Brooklyn",-0.15,22,25
"M.deanei","Brooklyn",-0.15,19,25
"M.deanei","Brooklyn",-0.15,18,25
"M.deanei","Brooklyn",-0.15,22,25
"M.deanei","NDam",-0.15,17,25
"M.deanei","NDam",-0.15,20,25
"M.deanei","NDam",-0.15,19,25
"M.deanei","NDam",-0.15,23,25
"M.styphelioides","NUrragingy",-0.25,24,25
"M.styphelioides","NUrragingy",-0.25,23,25
"M.styphelioides","NUrragingy",-0.25,24,25
"M.styphelioides","NUrragingy",-0.25,25,25
"M.styphelioides","CHill",-0.25,25,25
"M.styphelioides","CHill",-0.25,22,25
"M.styphelioides","CHill",-0.25,24,25
"M.styphelioides","CHill",-0.25,24,25
"M.nodosa","ADI",-0.25,22,25
"M.nodosa","ADI",-0.25,24,25
"M.nodosa","ADI",-0.25,25,25
"M.nodosa","ADI",-0.25,23,25
"M.nodosa","RW",-0.25,23,25
"M.nodosa","RW",-0.25,24,25
"M.nodosa","RW",-0.25,23,25
"M.nodosa","RW",-0.25,25,25
"M.thymifolia","Castlreagh",-0.25,13,25
"M.thymifolia","Castlreagh",-0.25,13,25
"M.thymifolia","Castlreagh",-0.25,7,25
"M.thymifolia","Castlreagh",-0.25,14,25
"M.thymifolia","Pheasants",-0.25,14,25
"M.thymifolia","Pheasants",-0.25,19,25
"M.thymifolia","Pheasants",-0.25,19,25
"M.thymifolia","Pheasants",-0.25,9,25
"M.deanei","Brooklyn",-0.25,19,25
"M.deanei","Brooklyn",-0.25,22,25
"M.deanei","Brooklyn",-0.25,18,25
"M.deanei","Brooklyn",-0.25,20,25
"M.deanei","NDam",-0.25,24,25
"M.deanei","NDam",-0.25,9,25
"M.deanei","NDam",-0.25,22,25
"M.deanei","NDam",-0.25,19,25
"M.styphelioides","NUrragingy",-0.35,24,25
"M.styphelioides","NUrragingy",-0.35,23,25
"M.styphelioides","NUrragingy",-0.35,25,25
"M.styphelioides","NUrragingy",-0.35,25,25
"M.styphelioides","CHill",-0.35,24,25
"M.styphelioides","CHill",-0.35,19,25
"M.styphelioides","CHill",-0.35,22,25
"M.styphelioides","CHill",-0.35,25,25
"M.nodosa","ADI",-0.35,23,25
"M.nodosa","ADI",-0.35,25,25
"M.nodosa","ADI",-0.35,23,25
"M.nodosa","ADI",-0.35,24,25
"M.nodosa","RW",-0.35,22,25
"M.nodosa","RW",-0.35,23,25
"M.nodosa","RW",-0.35,23,25
"M.nodosa","RW",-0.35,25,25
"M.thymifolia","Castlreagh",-0.35,16,25
"M.thymifolia","Castlreagh",-0.35,13,25
"M.thymifolia","Castlreagh",-0.35,15,25
"M.thymifolia","Castlreagh",-0.35,16,25
"M.thymifolia","Pheasants",-0.35,9,25
"M.thymifolia","Pheasants",-0.35,14,25
"M.thymifolia","Pheasants",-0.35,16,25
"M.thymifolia","Pheasants",-0.35,18,25
"M.deanei","Brooklyn",-0.35,20,25
"M.deanei","Brooklyn",-0.35,19,25
"M.deanei","Brooklyn",-0.35,15,25
"M.deanei","Brooklyn",-0.35,17,25
"M.deanei","NDam",-0.35,19,25
"M.deanei","NDam",-0.35,21,25
"M.deanei","NDam",-0.35,14,25
"M.deanei","NDam",-0.35,17,25
"M.styphelioides","NUrragingy",-0.45,25,25
"M.styphelioides","NUrragingy",-0.45,23,25
"M.styphelioides","NUrragingy",-0.45,22,25
"M.styphelioides","NUrragingy",-0.45,24,25
"M.styphelioides","CHill",-0.45,23,25
"M.styphelioides","CHill",-0.45,25,25
"M.styphelioides","CHill",-0.45,25,25
"M.styphelioides","CHill",-0.45,22,25
"M.nodosa","ADI",-0.45,24,25
"M.nodosa","ADI",-0.45,22,25
